Assistante	O
commerciale	O
SAfe	O
Diagnostics	O
-	O
Créteil	O
-LRB-	O
94	O
-RRB-	O
1	O
200	O
$	O
-	O
2	O
200	O
$	O
par	O
mois	O
SAfe	O
Diagnostics	O
est	O
une	O
entreprise	O
réalisant	O
des	O
diagnostics	O
immobilier	O
dans	O
le	O
cadre	O
de	O
vente	O
,	O
location	O
,	O
travaux	O
ou	O
démolition	O
.	O
c'est	O
un	O
société	O
à	O
taille	O
humaine	O
.	O
Intitulé	O
du	O
poste	O
Assistante	O
commerciale	O
H/F	O
Contrat	O
CDI	O
Temps	O
de	O
travail	O
Temps	O
complet	O
Description	O
de	O
la	O
mission	O
-	O
Réponse	O
aux	O
appels	O
d'offres	O
tous	O
secteurs	O
confondus	O
-LRB-	O
Administratif	O
-RRB-	O
-	O
Assurer	O
le	O
secrétariat	O
de	O
l'équipe	O
sur	O
son	O
secteur	O
.	O
Superviser	O
les	O
plannings	O
-LRB-	O
RDV	O
et	O
congés	O
-RRB-	O
,	O
organiser	O
les	O
rendez-vous/d	O
éplacements	O
,	O
recevoir	O
et	O
filtrer	O
les	O
appels	O
téléphoniques	O
-LRB-	O
Prise	O
de	O
rendez	O
vous	O
à	O
optimiser	O
entre	O
les	O
différents	O
techniciens	O
-RRB-	O
-	O
Participer	O
à	O
la	O
rédaction	O
et	O
mise	O
en	O
forme	O
des	O
propositions	O
commerciales	O
-LRB-	O
appels	O
d'offres	O
,	O
courriers	O
divers	O
-RRB-	O
Nombre	O
de	O
postes	O
à	O
pourvoir	O
1	O
Localisation	O
du	O
poste	O
Ile-de-France	O
,	O
Val	O
de	O
Marne	O
-LRB-	O
94	O
-RRB-	O
Lieu	O
Créteil	O
Critères	O
candidat	O
Niveau	O
d'études	O
min	O
.	O
requis	O
Bac	O
+2	O
ou	O
équivalent	O
Niveau	O
d'expérience	O
min	O
.	O
requis	O
3	O
ans	O
de	O
relations	O
clients	O
Profil	O
De	O
formation	O
bac/bac	O
+2	O
ou	O
équivalent	O
,	O
vous	O
possédez	O
une	O
expérience	O
significative	O
-LRB-	O
plus	O
de	O
3	O
ans	O
-RRB-	O
sur	O
un	O
poste	O
similaire.Vous	O
êtes	O
force	O
de	O
propositions	O
.	O
Esprit	O
d'analyse	O
et	O
de	O
synthèse	O
,	O
réactivité	O
,	O
autonomie	O
,	O
rigueur	O
et	O
confidentialité	O
sont	O
des	O
atouts	O
indispensables	O
pour	O
réussir	O
dans	O
cette	O
fonction	O
.	O
Des	O
connaissances	O
en	O
bureautique	O
sont	O
indispensables	O
-LRB-	O
Word	O
,	O
excel	O
,	O
outllook	O
-RRB-	O
.	O
Type	O
d'emploi	O
:	O
Temps	O
plein	O
Salaire	O
:	O
1	O
200,00	O
$	O
à	O
2	O
200,00	O
$	O
/	O
mois	O
Localisation	O
du	O
poste	O
:	O
94000	O
Créteil	O
Expérience	O
exigée	O
:	O
relation	O
client	O
:	O
3	O
ans	O
