Prothésiste	O
dentaire	O
en	O
adjointe	O
-LRB-	O
H/F	O
-RRB-	O
Techno-Dental	O
-	O
Lieusaint	O
-LRB-	O
77	O
-RRB-	O
CDI	O
Laboratoire	O
situé	O
à	O
Lieusaint	O
-LRB-	O
77	O
-RRB-	O
cherche	O
prothésiste	O
dentaire	O
H/F	O
en	O
secteur	O
adjointe	O
.	O
Vous	O
effectuerez	O
les	O
montages	O
,	O
finitions	O
,	O
PEI	O
ainsi	O
que	O
les	O
cires	O
et	O
réparations	O
.	O
La	O
maitrise	O
des	O
crochets	O
acétal	O
et	O
Valplast	O
serait	O
un	O
plus.Expérience	O
requise	O
,	O
minimum	O
5	O
ans	O
.	O
Salaire	O
selon	O
compétences.Poste	O
à	O
pourvoir	O
immédiatement	O
.	O
Type	O
d'emploi	O
:	O
CDI	O
Expérience	O
exigée	O
:	O
adjointe	O
:	O
2	O
ans	O
