Agent	position
au	position
Sol	position
ferroviaire	position
REGIORAIL	company
Rhône-Alpes	company
-	O
Ambérieu-en-Bugey	city
-LRB-	O
1	postal_code
-RRB-	O
1	salary
800	salary
$	salary
-	O
1	salary
850	salary
$	salary
par	salary
mois	salary
Dans	O
le	O
cadre	O
du	O
développement	O
de	O
son	O
activité	O
REGIORAIL	company
,	O
entreprise	O
de	O
transport	O
ferroviaire	O
de	O
fret	O
,	O
recherche	O
pour	O
son	O
site	O
sur	O
AMBERIEU	city
EN	city
BUGEY	city
-LRB-	O
1	postal_code
-RRB-	O
des	position
Agents	position
au	position
Sol	position
-LRB-	O
H/F	O
-RRB-	O
qui	O
bénéficieront	O
d'une	O
formation	O
de	O
7	O
semaines	O
à	O
la	O
fonction	O
pour	O
une	O
prise	O
de	O
fonction	O
en	O
CDI	contrat_type
sous	O
réserve	O
de	O
réussite	O
de	O
la	O
formation	O
.	O
Vous	hard_skills
effectuerez	hard_skills
notamment	hard_skills
les	hard_skills
missions	hard_skills
suivantes	hard_skills
:	O
formation	hard_skills
de	hard_skills
la	hard_skills
rame	hard_skills
,	hard_skills
vérification	hard_skills
de	hard_skills
l'absence	hard_skills
d'anomalies	hard_skills
sur	hard_skills
les	hard_skills
véhicules	hard_skills
et	hard_skills
marchandises	hard_skills
transportées	hard_skills
,	hard_skills
accrochage	hard_skills
et	hard_skills
décrochage	hard_skills
des	hard_skills
véhicules	hard_skills
,	hard_skills
autorisations	hard_skills
de	hard_skills
départ	hard_skills
.	hard_skills
Vous	hard_skills
serez	hard_skills
également	hard_skills
garant	hard_skills
de	hard_skills
la	hard_skills
sécurité	hard_skills
et	hard_skills
du	hard_skills
bon	hard_skills
déroulement	hard_skills
des	hard_skills
opérations	hard_skills
au	hard_skills
sol	hard_skills
.	O
Mais	hard_skills
surtout	hard_skills
un	hard_skills
formidable	hard_skills
challenge	hard_skills
dans	hard_skills
un	hard_skills
groupe	hard_skills
dynamique	hard_skills
en	hard_skills
plein	hard_skills
développement	hard_skills
!	O
Type	O
d'emploi	O
:	O
Temps	contrat_type
plein	contrat_type
Salaire	O
:	O
1	salary
800	salary
$	salary
à	O
1	salary
850	salary
$	salary
/	O
mois	salary
Localisation	O
du	O
poste	O
:	O
Ambérieu-en-Bugey	city
-LRB-	O
1	postal_code
-RRB-	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Études	experience
secondaires	experience
-LRB-	O
niveau	experience
Bac	experience
-RRB-	O
